state_name,year,Emissions,Removals,population_millions
Andaman and Nicobar,2013,428142.61,-7211025.4,0.36
Andaman and Nicobar,2014,484855.21,-7211025.4,0.36
Andaman and Nicobar,2015,387933.21,-7211030.22,0.37
Andaman and Nicobar,2016,451618.97,-7211030.22,0.37
Andaman and Nicobar,2017,506495.38,-7211030.22,0.38
Andaman and Nicobar,2018,528225.44,-7211032.03,0.38
Andaman and Nicobar,2019,563570.72,-1252199.5,0.39
Andaman and Nicobar,2020,670591.73,-1252199.5,0.39
Andaman and Nicobar,2021,724605.02,281075.83,0.4
Andaman and Nicobar,2022,745623.42,281075.83,0.4
Andhra Pradesh,2013,112142594.76,-15800787.5,82.37
Andhra Pradesh,2014,121559042.39,-15800787.5,83.35
Andhra Pradesh,2015,130034586.24,-15771405.03,84.35
Andhra Pradesh,2016,132710167.94,-15771405.03,85.37
Andhra Pradesh,2017,143854951.62,-15771405.03,86.39
Andhra Pradesh,2018,153231733.58,-15868060.3,87.43
Andhra Pradesh,2019,160350558.13,-29042427.42,88.48
Andhra Pradesh,2020,162359030.62,-29042427.42,89.54
Andhra Pradesh,2021,141520497.28,-37460793.42,90.61
Andhra Pradesh,2022,132270604.25,-37460793.42,91.7
Arunachal Pradesh,2013,559406.17,-21701281.76,1.53
Arunachal Pradesh,2014,591102.63,-21701281.76,1.55
Arunachal Pradesh,2015,446300.0,-21825884.95,1.56
Arunachal Pradesh,2016,499867.7,-21825884.95,1.58
Arunachal Pradesh,2017,530585.76,-21825884.95,1.6
Arunachal Pradesh,2018,583617.62,-21692813.54,1.62
Arunachal Pradesh,2019,602025.36,4510663.87,1.64
Arunachal Pradesh,2020,659414.09,4510663.87,1.66
Arunachal Pradesh,2021,716816.15,5136881.03,1.68
Arunachal Pradesh,2022,758465.59,5136881.03,1.7
Assam,2013,9723888.85,-3673042.39,31.98
Assam,2014,9671746.64,-3673042.39,32.36
Assam,2015,10425250.9,-3685674.56,32.75
Assam,2016,11431305.78,-3685674.56,33.14
Assam,2017,10862060.01,-3685674.56,33.54
Assam,2018,10867157.88,-3705298.33,33.94
Assam,2019,11289699.39,203166.41,34.35
Assam,2020,11777946.56,203166.41,34.76
Assam,2021,12962307.02,-7872850.26,35.18
Assam,2022,13438401.14,-7872850.26,35.6
Bihar,2013,17427629.93,708430.02,114.97
Bihar,2014,18080206.36,708430.02,116.35
Bihar,2015,21588741.65,586926.94,117.75
Bihar,2016,26223318.0,586926.94,119.16
Bihar,2017,30036834.58,586926.94,120.59
Bihar,2018,31465083.98,631592.98,122.04
Bihar,2019,32199993.89,108025.19,123.5
Bihar,2020,33854479.43,108025.19,124.98
Bihar,2021,37233386.1,-1033155.14,126.48
Bihar,2022,41031943.24,-1033155.14,128.0
Chandigarh,2013,622674.48,-2034.12,1.08
Chandigarh,2014,640138.93,-2034.12,1.09
Chandigarh,2015,658739.14,-2034.86,1.1
Chandigarh,2016,702916.61,-2034.86,1.12
Chandigarh,2017,724564.44,-2034.86,1.13
Chandigarh,2018,729745.61,-2034.12,1.14
Chandigarh,2019,700987.68,-75546.71,1.16
Chandigarh,2020,690608.14,-75546.71,1.17
Chandigarh,2021,726863.16,955.54,1.19
Chandigarh,2022,823403.94,955.54,1.2
Chhattisgarh,2013,71934967.14,-4898293.3,26.41
Chhattisgarh,2014,94423531.12,-4898293.3,26.72
Chhattisgarh,2015,108788443.24,-4843636.53,27.04
Chhattisgarh,2016,126990563.56,-4843636.53,27.37
Chhattisgarh,2017,127870434.18,-4843636.53,27.7
Chhattisgarh,2018,132382719.78,-5079285.8,28.03
Chhattisgarh,2019,144060811.1,708703.11,28.37
Chhattisgarh,2020,149296373.17,708703.11,28.71
Chhattisgarh,2021,155345189.13,-217038.56,29.05
Chhattisgarh,2022,156315461.86,-217038.56,29.4
Dadra and Nagar Haveli and Daman and Diu,2013,917672.38,49470.68,0.54
Dadra and Nagar Haveli and Daman and Diu,2014,1217512.18,49470.68,0.55
Dadra and Nagar Haveli and Daman and Diu,2015,1160322.76,49620.02,0.55
Dadra and Nagar Haveli and Daman and Diu,2016,890685.49,49620.02,0.56
Dadra and Nagar Haveli and Daman and Diu,2017,1182139.6,49620.02,0.57
Dadra and Nagar Haveli and Daman and Diu,2018,1174932.01,49401.75,0.57
Dadra and Nagar Haveli and Daman and Diu,2019,1122075.12,-355.5,0.58
Dadra and Nagar Haveli and Daman and Diu,2020,1370140.08,-355.5,0.59
Dadra and Nagar Haveli and Daman and Diu,2021,1684734.57,-22394.0,0.59
Dadra and Nagar Haveli and Daman and Diu,2022,1894786.88,-22394.0,0.6
Goa,2013,2701612.45,-1193988.73,1.44
Goa,2014,3167071.21,-1193988.73,1.45
